STATE, AGE  ,SEX,RECIPIENTS
FL   , 22-25,F  ,      7242
FL   , 22-25,M  ,      9295
FL   , 26-29,F  ,      6545
FL   , 26-29,M  ,      7779
FL   , 30-39,F  ,     15711
FL   , 30-39,M  ,     14814
FL   , 40-49,F  ,     27512
FL   , 40-49,M  ,     19781
FL   , 50-59,F  ,     41572
FL   , 50-59,M  ,     30363
FL   , 60-64,F  ,     19182
FL   , 60-64,M  ,     12123
FL   , 65-69,F  ,     24809
FL   , 65-69,M  ,     13493
FL   , 70-74,F  ,     25569
FL   , 70-74,M  ,     12276
FL   , 75+  ,F  ,     59133
FL   , 75+  ,M  ,     22759
GA   ,  <05 ,F  ,      3579
GA   ,  <05 ,M  ,      4329
GA   , 05-12,F  ,      6707
GA   , 05-12,M  ,     13208
GA   , 13-17,F  ,      4387
GA   , 13-17,M  ,      8944
GA   , 18-21,F  ,      4559
GA   , 18-21,M  ,      7239
GA   , 22-25,F  ,      4178
GA   , 22-25,M  ,      5216
GA   , 26-29,F  ,      3893
GA   , 26-29,M  ,      4458
GA   , 30-39,F  ,     10340
GA   , 30-39,M  ,      9215
GA   , 40-49,F  ,     17393
GA   , 40-49,M  ,     11605
GA   , 50-59,F  ,     25034
GA   , 50-59,M  ,     16972
GA   , 60-64,F  ,     10924
GA   , 60-64,M  ,      6449
GA   , 65-69,F  ,      9843
GA   , 65-69,M  ,      4861
GA   , 70-74,F  ,      8063
GA   , 70-74,M  ,      3424
GA   , 75+  ,F  ,     18707
GA   , 75+  ,M  ,      4971
HI   ,  <05 ,F  ,       128
HI   ,  <05 ,M  ,       188
HI   , 05-12,F  ,       295
HI   , 05-12,M  ,       530
HI   , 13-17,F  ,       193
HI   , 13-17,M  ,       387
HI   , 18-21,F  ,       285
HI   , 18-21,M  ,       455
HI   , 22-25,F  ,       279
HI   , 22-25,M  ,       434
HI   , 26-29,F  ,       331
HI   , 26-29,M  ,       407
HI   , 30-39,F  ,       924
HI   , 30-39,M  ,       941
HI   , 40-49,F  ,      1712
HI   , 40-49,M  ,      1624
HI   , 50-59,F  ,      2557
HI   , 50-59,M  ,      2646
HI   , 60-64,F  ,      1048
HI   , 60-64,M  ,       968
HI   , 65-69,F  ,      1091
HI   , 65-69,M  ,       709
HI   , 70-74,F  ,      1170
HI   , 70-74,M  ,       551
HI   , 75+  ,F  ,      3646
HI   , 75+  ,M  ,      1398
IA   ,  <05 ,F  ,       548
IA   ,  <05 ,M  ,       787
IA   , 05-12,F  ,      1192
IA   , 05-12,M  ,      2674
IA   , 13-17,F  ,       863
IA   , 13-17,M  ,      1879
IA   , 18-21,F  ,      1301
IA   , 18-21,M  ,      1935
IA   , 22-25,F  ,      1266
IA   , 22-25,M  ,      1613
IA   , 26-29,F  ,      1150
IA   , 26-29,M  ,      1449
IA   , 30-39,F  ,      2843
IA   , 30-39,M  ,      2524
IA   , 40-49,F  ,      4124
IA   , 40-49,M  ,      2882
IA   , 50-59,F  ,      5263
IA   , 50-59,M  ,      3460
IA   , 60-64,F  ,      1904
IA   , 60-64,M  ,      1103
IA   , 65-69,F  ,      1510
IA   , 65-69,M  ,       801
IA   , 70-74,F  ,      1118
IA   , 70-74,M  ,       560
IA   , 75+  ,F  ,      2095
IA   , 75+  ,M  ,       790
ID   ,  <05 ,F  ,       326
ID   ,  <05 ,M  ,       486
ID   , 05-12,F  ,       897
ID   , 05-12,M  ,      1888
ID   , 13-17,F  ,       577
ID   , 13-17,M  ,      1103
ID   , 18-21,F  ,       760
ID   , 18-21,M  ,      1025
ID   , 22-25,F  ,       730
ID   , 22-25,M  ,       866
ID   , 26-29,F  ,       695
ID   , 26-29,M  ,       750
ID   , 30-39,F  ,      1788
ID   , 30-39,M  ,      1445
ID   , 40-49,F  ,      2370
ID   , 40-49,M  ,      1404
ID   , 50-59,F  ,      2933
ID   , 50-59,M  ,      1773
ID   , 60-64,F  ,      1104
ID   , 60-64,M  ,       584
ID   , 65-69,F  ,       906
ID   , 65-69,M  ,       425
ID   , 70-74,F  ,       640
ID   , 70-74,M  ,       293
ID   , 75+  ,F  ,      1058
ID   , 75+  ,M  ,       410
IL   ,  <05 ,F  ,      2895
IL   ,  <05 ,M  ,      4003
IL   , 05-12,F  ,      6944
IL   , 05-12,M  ,     14396
IL   , 13-17,F  ,      5449
IL   , 13-17,M  ,     11064
IL   , 18-21,F  ,      5912
