SSA REGION   ,DIAG. GROUP,AGE  ,SEX,RECIPIENTS
Boston       ,DIGEST     ,18-39,F  ,       160
Boston       ,DIGEST     ,18-39,M  ,       120
Boston       ,DIGEST     ,40-64,F  ,       789
Boston       ,DIGEST     ,40-64,M  ,       771
Boston       ,ENDOCR     , <18 ,F  ,       169
Boston       ,ENDOCR     , <18 ,M  ,       188
Boston       ,ENDOCR     ,18-39,F  ,       332
Boston       ,ENDOCR     ,18-39,M  ,       253
Boston       ,ENDOCR     ,40-64,F  ,      2865
Boston       ,ENDOCR     ,40-64,M  ,      1147
Boston       ,GENITO     , <18 ,F  ,        41
Boston       ,GENITO     , <18 ,M  ,        70
Boston       ,GENITO     ,18-39,F  ,       202
Boston       ,GENITO     ,18-39,M  ,       190
Boston       ,GENITO     ,40-64,F  ,       442
Boston       ,GENITO     ,40-64,M  ,       409
Boston       ,INFECT     , <18 ,F  ,        28
Boston       ,INFECT     , <18 ,M  ,        35
Boston       ,INFECT     ,18-39,F  ,       211
Boston       ,INFECT     ,18-39,M  ,       193
Boston       ,INFECT     ,40-64,F  ,      1347
Boston       ,INFECT     ,40-64,M  ,      1575
Boston       ,INJURY     , <18 ,F  ,        71
Boston       ,INJURY     , <18 ,M  ,        93
Boston       ,INJURY     ,18-39,F  ,       351
Boston       ,INJURY     ,18-39,M  ,       793
Boston       ,INJURY     ,40-64,F  ,      1257
Boston       ,INJURY     ,40-64,M  ,      1868
Boston       ,INTELLECT  , <18 ,F  ,       917
Boston       ,INTELLECT  , <18 ,M  ,      1567
Boston       ,INTELLECT  ,18-39,F  ,      9313
Boston       ,INTELLECT  ,18-39,M  ,      9960
Boston       ,INTELLECT  ,40-64,F  ,      7452
Boston       ,INTELLECT  ,40-64,M  ,      6709
Boston       ,MENTALOTHER, <18 ,F  ,       809
Boston       ,MENTALOTHER, <18 ,M  ,      1282
Boston       ,MENTALOTHER,18-39,F  ,      7105
Boston       ,MENTALOTHER,18-39,M  ,      4477
Boston       ,MENTALOTHER,40-64,F  ,     11663
Boston       ,MENTALOTHER,40-64,M  ,      5384
Boston       ,MOOD       , <18 ,F  ,       904
Boston       ,MOOD       , <18 ,M  ,      1735
Boston       ,MOOD       ,18-39,F  ,     11756
Boston       ,MOOD       ,18-39,M  ,      6787
Boston       ,MOOD       ,40-64,F  ,     26590
Boston       ,MOOD       ,40-64,M  ,     10144
Boston       ,MUSCUL     , <18 ,F  ,       169
Boston       ,MUSCUL     , <18 ,M  ,       154
Boston       ,MUSCUL     ,18-39,F  ,      1269
Boston       ,MUSCUL     ,18-39,M  ,       711
Boston       ,MUSCUL     ,40-64,F  ,     12576
Boston       ,MUSCUL     ,40-64,M  ,      7683
Boston       ,NEOPLA     , <18 ,F  ,       200
Boston       ,NEOPLA     , <18 ,M  ,       253
Boston       ,NEOPLA     ,18-39,F  ,       219
Boston       ,NEOPLA     ,18-39,M  ,       221
Boston       ,NEOPLA     ,40-64,F  ,       955
Boston       ,NEOPLA     ,40-64,M  ,       715
Boston       ,NERVOUS    , <18 ,F  ,      1551
Boston       ,NERVOUS    , <18 ,M  ,      1999
Boston       ,NERVOUS    ,18-39,F  ,      3318
Boston       ,NERVOUS    ,18-39,M  ,      3644
Boston       ,NERVOUS    ,40-64,F  ,      4574
Boston       ,NERVOUS    ,40-64,M  ,      3212
Boston       ,ORGANIC    , <18 ,F  ,       554
Boston       ,ORGANIC    , <18 ,M  ,      1230
Boston       ,ORGANIC    ,18-39,F  ,      1760
Boston       ,ORGANIC    ,18-39,M  ,      2833
Boston       ,ORGANIC    ,40-64,F  ,      2349
Boston       ,ORGANIC    ,40-64,M  ,      3315
Boston       ,OTHER      , <18 ,F  ,      1581
Boston       ,OTHER      , <18 ,M  ,      1727
Boston       ,OTHER      ,18-39,F  ,       149
Boston       ,OTHER      ,18-39,M  ,       177
Boston       ,OTHER      ,40-64,F  ,       104
Boston       ,OTHER      ,40-64,M  ,        92
Boston       ,RESPIR     , <18 ,F  ,       461
Boston       ,RESPIR     , <18 ,M  ,       920
Boston       ,RESPIR     ,18-39,F  ,       284
Boston       ,RESPIR     ,18-39,M  ,       155
Boston       ,RESPIR     ,40-64,F  ,      2079
Boston       ,RESPIR     ,40-64,M  ,      1013
Boston       ,SCHIZO     , <18 ,F  ,        65
Boston       ,SCHIZO     , <18 ,M  ,       152
Boston       ,SCHIZO     ,18-39,F  ,      1539
Boston       ,SCHIZO     ,18-39,M  ,      4341
Boston       ,SCHIZO     ,40-64,F  ,      5305
Boston       ,SCHIZO     ,40-64,M  ,      7001
Boston       ,SKIN       , <18 ,F  ,        36
Boston       ,SKIN       , <18 ,M  ,        27
Boston       ,SKIN       ,18-39,F  ,        59
Boston       ,SKIN       ,18-39,M  ,        37
Boston       ,SKIN       ,40-64,F  ,       150
Boston       ,SKIN       ,40-64,M  ,        77
Boston       ,UNKNOWN    , <18 ,F  ,       322
